侧耳倾听,1995,日本,8.9,447170人评价,63f0652a77a004dfab7b0d71
时空恋旅人,2013,英国,8.8,639866人评价,63f0652a77a004dfab7b0d73
寄生虫,2019,韩国,8.8,1329920人评价,63f0652a77a004dfab7b0d75
幸福终点站,2004,美国,8.8,551958人评价,63f0652a77a004dfab7b0d77
驯龙高手,2010,美国,8.8,734911人评价,63f0652a77a004dfab7b0d79
萤火之森,2011,日本,8.9,519168人评价,63f0652a77a004dfab7b0d7b
教父3,1990,美国,9.0,360667人评价,63f0652a77a004dfab7b0d7d
一个叫欧维的男人决定去死,2015,瑞典,8.9,456964人评价,63f0652a77a004dfab7b0d7f
怪兽电力公司,2001,美国,8.8,647958人评价,63f0652a77a004dfab7b0d81
未麻的部屋,1997,日本,9.1,316840人评价,63f0652a77a004dfab7b0d83
玩具总动员3,2010,美国,8.9,497745人评价,63f0652a77a004dfab7b0d85
哈利·波特与火焰杯,2005,英国 美国,8.8,631605人评价,63f0652a77a004dfab7b0d87
傲慢与偏见,2005,法国 英国 美国,8.7,770288人评价,63f0652a77a004dfab7b0d89
釜山行,2016,韩国,8.6,1164261人评价,63f0652a77a004dfab7b0d8b
玛丽和马克思,2009,澳大利亚 美国,8.9,413746人评价,63f0652a77a004dfab7b0d8d
神偷奶爸,2010,美国 法国,8.7,923183人评价,63f0652a77a004dfab7b0d8f
被解救的姜戈,2012,美国,8.8,590202人评价,63f0652a77a004dfab7b0d91
告白,2010,日本,8.8,656786人评价,63f0652a77a004dfab7b0d93
新世界,2013,韩国,8.9,411294人评价,63f0652a77a004dfab7b0d95
大鱼,2003,美国,8.8,554323人评价,63f0652a77a004dfab7b0d97
哪吒闹海,1979,中国大陆,9.2,250500人评价,63f0652a77a004dfab7b0d99
射雕英雄传之东成西就,1993,中国香港,8.7,615400人评价,63f0652a77a004dfab7b0d9b
阳光姐妹淘,2011,韩国,8.8,579163人评价,63f0652a77a004dfab7b0d9d
头号玩家,2018,美国,8.7,1330844人评价,63f0652a77a004dfab7b0d9f
我是山姆,2001,美国,9.0,328069人评价,63f0652a77a004dfab7b0da1
绿里奇迹,1999,美国,8.9,317806人评价,63f0652b77a004dfab7b0da3
爱在午夜降临前,2013,美国 希腊,8.9,384936人评价,63f0652b77a004dfab7b0da5
记忆碎片,2000,美国,8.7,585197人评价,63f0652b77a004dfab7b0da7
岁月神偷,2010,中国香港 中国大陆,8.7,563683人评价,63f0652b77a004dfab7b0da9
忠犬八公物语,1987,日本,9.2,188264人评价,63f0652b77a004dfab7b0dab
荒蛮故事,2014,阿根廷 西班牙,8.8,430424人评价,63f0652b77a004dfab7b0dad
疯狂的石头,2006,中国大陆 中国香港,8.6,795463人评价,63f0652b77a004dfab7b0daf
爆裂鼓手,2014,美国,8.7,568715人评价,63f0652b77a004dfab7b0db1
小偷家族,2018,日本,8.7,792176人评价,63f0652b77a004dfab7b0db3
无敌破坏王,2012,美国,8.7,520848人评价,63f0652b77a004dfab7b0db5
雨中曲,1952,美国,9.1,214679人评价,63f0652b77a004dfab7b0db7
贫民窟的百万富翁,2008,英国,8.6,727830人评价,63f0652b77a004dfab7b0db9
2001太空漫游,1968,英国 美国,8.9,311750人评价,63f0652b77a004dfab7b0dbb
冰川时代,2002,美国,8.6,595700人评价,63f0652b77a004dfab7b0dbd
背靠背，脸对脸,1994,中国大陆 中国香港,9.5,123817人评价,63f0652b77a004dfab7b0dbf
无间道2,2003,中国香港,8.7,459329人评价,63f0652b77a004dfab7b0dc1
小丑,2019,美国 加拿大,8.7,975357人评价,63f0652b77a004dfab7b0dc3
恐怖游轮,2009,英国 澳大利亚,8.5,831207人评价,63f0652b77a004dfab7b0dc5
东邪西毒,1994,中国香港 中国台湾,8.6,558992人评价,63f0652b77a004dfab7b0dc7
真爱至上,2003,英国 美国 法国,8.6,716503人评价,63f0652b77a004dfab7b0dc9
你看起来好像很好吃,2010,日本,8.9,323635人评价,63f0652b77a004dfab7b0dcb
遗愿清单,2007,美国,8.7,441604人评价,63f0652b77a004dfab7b0dcd
牯岭街少年杀人事件,1991,中国台湾,8.9,285669人评价,63f0652b77a004dfab7b0dcf
魔女宅急便,1989,日本,8.7,443941人评价,63f0652b77a004dfab7b0dd1
黑天鹅,2010,美国,8.6,763899人评价,63f0652b77a004dfab7b0dd3
