Coldplay,Viva La Vida,9.0

周杰伦,范特西,9.5

孙燕姿,是时候,8.7

王若琳,Start from Here,8.8

陈绮贞,太阳,8.7

Keren Ann,Not Going Anywhere,8.9

张震岳 Csun Yuk,思念是一种病,8.8

张悬,亲爱的...我还不知道,8.7

Damien Rice,O,9.1

周杰伦,叶惠美,9.2

Adele,21,9.3

王菲,寓言,9.4

Nirvana,Nevermind,9.3

周杰伦,Jay,9.3

孙燕姿,我要的幸福,9.0

Avril Lavigne,Let Go,8.9

方大同,橙月,8.6

蔡健雅,若你碰到他,8.1

万能青年旅店,万能青年旅店,9.5

James Blunt,Back To Bedlam,9.0

梁静茹,静茹&amp;情歌 别再为他流泪,8.5

Yann Tiersen,Le Fabuleux destin d&#39;Amélie Poulain,9.4

Tamas Wells,A Plea En Vendredi,9.0

孙燕姿,逆光,8.6

孙燕姿,The Moment,9.1

苏打绿,春·日光,8.3

梁静茹,崇拜,8.5

Joe Hisaishi,菊次郎の夏,9.5

Mika,Life In Cartoon Motion,8.8

林宥嘉,神秘嘉宾,8.5

范晓萱&amp;100%,赤子,8.2

王菲,将爱,8.9

李志,梵高先生,9.1

周杰伦,依然范特西,8.6

孙燕姿,完美的一天,8.3

陶喆,黑色柳丁,9.1

Lady Gaga,The Fame,8.5

五月天,为爱而生,8.6

Jason Mraz,I&#39;m Yours,9.4

朴树,生如夏花,9.0

苏打绿,夏 / 狂热,8.7

曹方,哼一首歌 等日落,8.2

Radiohead,OK Computer,9.4

Pink Floyd,The Wall,9.4

Linkin Park,Hybrid Theory,9.0

陈绮贞,After 17,9.2

五月天 Mayday,神的孩子都在跳舞,9.0

陈奕迅,不想放手,8.4

Ennio Morricone,The Legend of 1900,9.5

徐佳莹,徐佳瑩La La首张创作专辑,8.4

五月天,知足 just my pride 最真杰作选,9.3

周杰伦,魔杰座,7.9

Adele,19,8.6

孙燕姿,Yan Zi,9.1

陈绮贞,失败者的飞翔,8.6

梁静茹,亲亲,8.2

陈奕迅,Stranger Under My Skin,8.8

朴树,平凡之路,9.1

Green Day,21st Century Breakdown,8.7

王菲,唱游,9.4

朴树,我去2000年,9.4

孙燕姿,自选集,9.0

曹方,比天空还远,8.5

周杰倫...,不能说的秘密,9.1

James Blunt,All The Lost Souls,8.6

陈奕迅,上五楼的快活,7.8

蔡健雅...,GOODBYE &amp; HELLO,8.6

苏打绿,迟到千年,9.0

王菲,王菲,9.2

GALA,追梦痴子心,8.9

陈奕迅,黑白灰,9.1

宇多田ヒカル,Prisoner of Love,9.3

The Innocence Mission,Now The Day Is Over,8.5

王菲,阿菲正传,9.4

孙燕姿,Leave,8.8

陈奕迅,What&#39;s Going On....?,9.3

陶喆,樂之路,9.2

张悬,如果你冷,8.5

王菲,浮躁,9.4

刘若英,在一起,7.9

苏打绿,陪我歌唱,9.2

手嶌葵,The Rose~I Love Cinemas~,9.3

大乔小乔,消失的光年,8.3

卡奇社,日光倾城,8.2

Keane,Hopes And Fears,8.9

Maximilian Hecker,Lady Sleep,8.8

崔健,新长征路上的摇滚,9.4

好妹妹乐队,春生,8.9

方大同,未来,8.4

逃跑计划,世界,9.0

Nirvana,Nirvana,9.3

The Velvet Underground...,The Velvet Underground &amp; Nico,9.3

王菲,天空,9.4


Salyu,呼吸,9.1

黑豹,黑豹,9.3

Suede,Suede,9.0

林海,琵琶相,9.4

彭坦,少年故事,8.2

范晓萱,我要我们在一起,8.8

Owl City,Maybe I&#39;m Dreaming,8.4

The Beatles,Let It Be,9.5

林宥嘉,大小說家,8.2

梁静茹,燕尾蝶,8.1

王菲,传奇,9.0

五月天,知足 MV / Karaoke DVD,9.3

王菲,王菲,9.4

莫文蔚,[i],8.8

陈绮贞,Demo 3,9.2

